SECUCODE,REPORT_DATE,SECURITY_NAME_ABBR,REPORT_TYPE,UPDATE_DATE,CURRENCY,ACCOUNTS_PAYABLE,ACCOUNTS_RECE,ADVANCE_RECEIVABLES,BOND_PAYABLE,CAPITAL_RESERVE,CIP,CONTRACT_ASSET,CONTRACT_LIAB,DEFER_TAX_ASSET,DEFER_TAX_LIAB,DERIVE_FINASSET,DERIVE_FINLIAB,DIVIDEND_PAYABLE,DIVIDEND_RECE,FIXED_ASSET,GOODWILL,HOLDSALE_ASSET,INTANGIBLE_ASSET,INTEREST_RECE,INVENTORY,INVEST_REALESTATE,LEASE_LIAB,LONG_EQUITY_INVEST,LONG_LOAN,LONG_PREPAID_EXPENSE,MINORITY_EQUITY,MONETARYFUNDS,NONCURRENT_LIAB_1YEAR,NOTE_ACCOUNTS_PAYABLE,NOTE_ACCOUNTS_RECE,NOTE_PAYABLE,NOTE_RECE,OTHER_COMPRE_INCOME,OTHER_CURRENT_ASSET,OTHER_CURRENT_LIAB,OTHER_EQUITY_INVEST,OTHER_NONCURRENT_ASSET,OTHER_NONCURRENT_FINASSET,OTHER_NONCURRENT_LIAB,PREDICT_LIAB,PREPAYMENT,SHARE_CAPITAL,SHORT_LOAN,STAFF_SALARY_PAYABLE,SURPLUS_RESERVE,TAX_PAYABLE,TOTAL_ASSETS,TOTAL_CURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_EQUITY,TOTAL_LIAB_EQUITY,TOTAL_LIABILITIES,TOTAL_NONCURRENT_ASSETS,TOTAL_NONCURRENT_LIAB,TOTAL_OTHER_PAYABLE,TOTAL_OTHER_RECE,TOTAL_PARENT_EQUITY,TRADE_FINASSET_NOTFVTPL,UNASSIGN_RPOFIT,USERIGHT_ASSET
SZ000002,1995-12-31,万科A,年报,1996-04-25,CNY,168396148.52,361859358.77,180455926.96,NULL,600245367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70288456.52,NULL,NULL,NULL,NULL,27702130.26,NULL,1222124277.41,NULL,NULL,NULL,53442568.8,NULL,182764159.08,504524626.71,30085334.32,168396148.52,361859358.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91194421.75,288225136.4,647114732.59,17126676.21,287363422.04,120225788.6,3234377489.99,2536897801.26,1746428636.51,1362256804.88,3234377489.99,1872120685.11,697479688.73,125692048.6,394889681.25,NULL,1179492645.8,NULL,4313657.33,NULL
SZ000002,1996-06-30,万科A,中报,1996-08-28,CNY,NULL,NULL,NULL,NULL,600076767.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184236648.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288225136.4,NULL,NULL,291586185.93,NULL,3218677625.2,2535014777.08,1663855501.47,1421385679.43,3218677625.2,1797291945.77,683662848.12,133436444.3,NULL,NULL,1237149031.21,NULL,57914698.6,NULL
SZ000002,1996-12-31,万科A,年报,1997-04-10,CNY,236622366.9,NULL,183392854.01,NULL,600260367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31704764.94,NULL,NULL,NULL,NULL,23609139.42,NULL,1361356458.61,NULL,NULL,NULL,10388138.83,NULL,171890891.32,597858560.26,40500000,236622366.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91284120.58,317047649.4,827856393.59,19542983.17,325498440.32,109783323.13,3466124320.3,2825327516.62,1942609692.22,1505126489.25,3466124320.3,1960997831.05,640796803.68,18388138.83,441247952.94,NULL,1333235597.93,NULL,92339545.54,NULL
SZ000002,1997-06-30,万科A,中报,1997-08-15,CNY,NULL,NULL,NULL,NULL,600260367.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177923402.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364604796.4,NULL,NULL,325498440.32,NULL,3621213636.08,2956119755.6,2038118770.75,1576865991.77,3621213636.08,2044347644.31,665093880.48,6228873.56,NULL,NULL,1398942589.41,NULL,110459300.1,NULL
SZ000002,1997-12-31,万科A,年报,1998-04-08,CNY,231735637.91,NULL,312131745.79,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67628613.51,NULL,NULL,NULL,NULL,5698482.54,NULL,1713988281.59,NULL,NULL,NULL,5970079.65,NULL,152927242.2,711664824.74,NULL,231735637.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87664294.17,450857423.4,548372959.11,20669706.4,402641520.32,95782903.04,3959626453,3326961512.98,1966079019.41,1987577353.94,3959626453,1972049099.06,632664940.02,5970079.65,502922405.28,NULL,1834650111.74,NULL,87134700.05,NULL
SZ000002,1998-06-30,万科A,中报,1998-08-14,CNY,295715947.05,274352510.04,308266556.32,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67631841.08,NULL,NULL,NULL,NULL,NULL,NULL,2043032759.72,NULL,NULL,273651655.03,NULL,43183921.06,112362164.85,683387777.7,NULL,295715947.05,274352510.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67828444.19,450857423.4,573796156,17470237.14,402641520.32,89880395.4,3953891568.68,3406784510.1,1925272875.88,2031017133.62,3953891568.68,1922874435.06,547107058.58,-2398440.82,358135646.04,NULL,1918654968.77,NULL,169709364.79,NULL
SZ000002,1998-12-31,万科A,年报,2000-03-30,CNY,371017252.96,247957917.5,222038344.95,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49720056.34,NULL,NULL,NULL,NULL,NULL,NULL,2349936093.6,NULL,NULL,225038700.25,20000000,72193300.44,114292845.86,576515552.09,NULL,371017252.96,247957917.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40944508.24,495943165.4,618723114,22060040.9,503687981.06,82682292.53,4008869718.53,3494241363.1,1916148966.22,2072746241.14,4008869718.53,1936123477.39,514628355.43,19974511.17,390253030.48,NULL,1958453395.28,NULL,64393322.21,NULL
SZ000002,1999-06-30,万科A,中报,1999-08-18,CNY,289945913.23,NULL,263874248.82,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49720056.34,NULL,NULL,NULL,NULL,NULL,NULL,2658693058.11,NULL,NULL,220391759.47,75000000,74796900.26,80462137.88,468010960.13,NULL,289945913.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63783118.04,495943165.4,815007932,23433008.04,503687981.06,63388244.63,4341585969.05,3832600424.16,2111073814.45,2153407081.97,4341585969.05,2188178887.08,508985544.89,77105072.63,393195032.83,NULL,2072944944.09,NULL,178860342.71,NULL
SZ000002,1999-12-31,万科A,年报,2001-03-20,CNY,526054494.54,NULL,222858263.28,NULL,895462178.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94645791.15,1209600,NULL,NULL,NULL,NULL,NULL,2541901743.74,NULL,NULL,202266621.42,55000000,92014617.95,53280451.87,772831829.15,NULL,526054494.54,NULL,NULL,NULL,NULL,11909232.68,NULL,NULL,NULL,NULL,24807533.06,NULL,39848309.94,545537481,895234400,23957105.12,618259124.56,69374265.77,4494664465.95,3896929870.98,2265107903.99,2146310711.04,4494664465.95,2348353754.91,597734594.97,83245850.92,312728447.11,1209600,2093030259.17,NULL,34724359.41,NULL
SZ000002,2000-06-30,万科A,中报,2000-08-15,CNY,518274866.94,NULL,338972387.08,NULL,1435421964.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94645791.15,NULL,NULL,NULL,NULL,NULL,NULL,2981956708.8,NULL,NULL,106026291.65,95000000,90261084.8,54813754.75,911966043.54,20000000,518274866.94,NULL,NULL,NULL,NULL,12057204.94,NULL,NULL,NULL,NULL,NULL,NULL,17904907.29,630971941,696000000,27091840.2,618259124.56,22099937.6,5045245492.17,4450481911.62,2059943998.12,2887901948.17,5045245492.17,2157343544,594763580.55,97399545.88,316170240.69,NULL,2833088193.42,NULL,149311013.8,NULL
SZ000002,2000-12-31,万科A,年报,2002-03-15,CNY,775411302.4,392350635.74,477297266.38,NULL,1435412604.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113574949.38,NULL,357323977.11,NULL,NULL,NULL,NULL,3458877740.13,NULL,NULL,95767102.56,80000000,137949947.13,53216790.05,995745160.05,NULL,775411302.4,392350635.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43895991.54,NULL,17764136.84,630971941,566000000,28781655.92,829121174.3,83244206.22,5583262107.86,4992221081.06,2532706262.71,2926659853.61,5583262107.86,2656602254.25,591041026.8,123895991.54,362792701.16,123936225.56,2873443063.56,NULL,-21236819.1,NULL
SZ000002,2001-06-30,万科A,中报,2001-08-14,CNY,576035134.83,449487772.11,247157218.36,NULL,1435412604.36,13460257.36,NULL,NULL,NULL,NULL,NULL,NULL,113574949.38,NULL,315340207.13,NULL,NULL,NULL,NULL,4057380813.64,NULL,NULL,84883894.71,191000000,131612269.61,59161181.02,763010058.78,NULL,576035134.83,449487772.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35564103.89,NULL,105890124.51,630971941,986000000,31468430.68,829121174.3,39888067.66,6065500492.42,5520203863.61,2732800963.33,3106135425.2,6065500492.42,2959365067.22,545296628.81,226564103.89,315840333.32,130766315,3046974244.18,NULL,152299244.97,NULL
SZ000002,2001-12-31,万科A,年报,2003-03-18,CNY,489986266.81,355887200.87,179250980.77,NULL,1435412604.36,21622101.18,NULL,NULL,NULL,NULL,NULL,NULL,126194388.2,NULL,288311392.06,NULL,NULL,NULL,NULL,4708616789.08,NULL,NULL,82295701.74,261000000,26751152.38,1992329.96,805381417.19,NULL,489986266.81,355887200.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50340947.36,37201011.95,70017428.2,630971941,1353000000,14770962.33,1053896585.83,99638654.43,6482911630.82,6063931283.46,3008287381.4,3126082290.11,6482911630.82,3356829340.71,418980347.36,348541959.31,310801784.77,121613174.63,3124089960.15,NULL,4617138,NULL
SZ000002,2002-03-31,万科A,一季报,2002-04-23,CNY,584331668.67,444673312.39,319994854.63,NULL,1435412604.36,33071185.11,NULL,NULL,NULL,NULL,NULL,NULL,126194388.2,NULL,274983964.03,NULL,NULL,NULL,NULL,4943459395.08,NULL,NULL,80304515.29,160000000,29516130.5,1991148.6,540421551.66,NULL,584331668.67,444673312.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53865049.29,NULL,90023391.57,630971941,1501000000,15098225.74,1053896585.83,80792799,6598379522.74,6180503727.81,3227448959.97,3157065513.48,6598379522.74,3441314009.26,417875794.93,213865049.29,303859131.54,154773360.27,3155074364.88,NULL,35173130.96,NULL
SZ000002,2002-06-30,万科A,中报,2002-08-21,CNY,659058296.07,402890135.46,587862168.76,1500000000,1435412604.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126194388.2,1135227.2,321405383.6,NULL,NULL,NULL,NULL,5387605145.25,NULL,NULL,78305843.43,160000000,32523190.12,NULL,1663890917.89,NULL,659058296.07,402890135.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31524964.66,NULL,200716654,630971941,1118000000,16590386.76,1053896585.83,52811678.66,8223610699.93,7791376282.78,3265418991.48,3266666743.79,8223610699.93,4956943956.14,432234417.15,1691524964.66,297555082.71,130872033.16,3266666743.79,NULL,146774058.25,NULL
SZ000002,2002-09-30,万科A,三季报,2002-10-28,CNY,575143500.66,293611631.01,921372913.61,1506750000,1435412604.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91872,316333940.65,NULL,NULL,NULL,NULL,5911263699.17,NULL,NULL,73007603.06,160000000,35796383.51,10574997.76,1166858479.7,NULL,575143500.66,293611631.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33718277.83,NULL,261066317.23,630971941,760300000,18788418.8,1053896585.83,35148446.32,8205488780.08,7780350852.86,3182832977.6,3322187524.65,8205488780.08,4883301255.43,425137927.22,1700468277.83,232198742.79,140632090.97,3311612526.89,NULL,191696642.7,NULL
SZ000002,2002-12-31,万科A,年报,2004-03-09,CNY,1621948607.72,302297113.93,544317647.75,1512341727.75,1435442203.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126194942.6,NULL,348658465.04,NULL,NULL,NULL,NULL,5976170097.26,NULL,NULL,NULL,160000000,63534450.19,45689831.6,1187405566.3,NULL,1631636207.72,302297113.93,9687600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36954931.28,24523671.9,128417736,630974713,460000000,18080509.61,1302470413.97,82720366.86,8215822308.3,7739098726.05,2929348159.86,3552653817.51,8215822308.3,4663168490.79,476723582.25,1733820330.93,187890030.39,139889751.5,3506963985.91,NULL,138464583.92,NULL
SZ000002,2003-03-31,万科A,一季报,2003-04-23,CNY,789485931.22,263150351.09,591916577.73,1517649848,1435726142.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126200201.2,NULL,338484435.06,NULL,NULL,NULL,NULL,6591749781.25,NULL,NULL,NULL,160000000,64023836.34,44378191.63,678371033.27,NULL,799173531.22,263150351.09,9687600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39769701.23,17555295.87,151478549.17,631001006,520000000,16651570.43,1302470413.96,60867194.71,8319567285.54,7853767141.43,3118212186,3466380254.44,8319567285.54,4853187031.1,465800144.11,1734974845.1,295537890.77,156951111.26,3422002062.81,NULL,53192431.74,NULL
SZ000002,2003-06-30,万科A,中报,2003-07-29,CNY,888203621.12,202853877.71,1087052527.85,780951274.5,1389167869.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16855535.96,742400,333402157.98,NULL,NULL,NULL,NULL,7058135501.43,NULL,NULL,NULL,160000000,56759797.9,37781760.41,1410869194.82,NULL,897891221.12,202853877.71,9687600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38994841.12,18591975.88,189869720.06,1383386596,1042000000,18138831.1,1302470413.97,45322924.73,9473215236.16,9021123072.87,4152364316.21,4322312828.45,9473215236.16,5150902407.71,452092163.29,998538091.5,223928860.36,155348158.8,4284531068.04,NULL,209899878,NULL
SZ000002,2003-09-30,万科A,三季报,2003-10-28,CNY,667604596.94,181113050.33,1813542861.45,716832294.5,1443401259.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16855535.96,302400,304030467.65,NULL,NULL,NULL,NULL,8491801407.5,NULL,NULL,NULL,160000000,65162425.35,37578211.59,799576969.65,NULL,677324124.94,181113050.33,9719528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33428279.43,16278166.4,197444764.71,1394795949,1555000000,17976564.99,1302470413.96,-30203421.44,10240488308.41,9810490004.64,4860495223.26,4453454344.82,10240488308.41,5787033963.59,429998303.77,926538740.33,197319229.28,137561907.11,4415876133.23,NULL,276004123.9,NULL
SZ000002,2003-12-31,万科A,年报,2005-03-22,CNY,2100180916.65,269464752.24,464745080.69,713294528.5,1458336399.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,268024928.59,NULL,NULL,NULL,NULL,8670928242.49,NULL,NULL,57078249.53,260200000,24912435.28,59101290.73,968784720.92,160000000,2103180916.65,269464752.24,3000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31771644.44,18513132.37,203589856.93,1395849444,1680000000,17345416.25,1600719275.98,147222365.84,10561040095.7,10211024482.3,4776800395.84,4760460394.55,10561040095.7,5800579701.15,350015613.4,1023779305.31,193111654.68,96504251.87,4701359103.82,NULL,247106386.08,NULL
SZ000002,2004-03-31,万科A,一季报,2004-04-17,CNY,1747443214.25,263915548.56,412928705.51,91755408.8,1967394886.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261002627,NULL,NULL,NULL,NULL,9509622544.4,NULL,NULL,NULL,410200000,13702578.8,71671947.34,1184795548.76,160000000,1751443214.25,263915548.56,4000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33195846.4,17586785.68,376574193.47,1501283209,3150000000,16415965.9,1600719275.98,71272930.29,11790932666.92,11458981540.71,5745487508,5492707118.04,11790932666.92,6298225548.88,331951126.21,552738040.88,170940190.16,118201333.39,5421035170.7,NULL,352040873.1,NULL
SZ000002,2004-06-30,万科A,中报,2004-08-06,CNY,1752902685.04,261459806.83,902350956.61,NULL,1431150859.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255614262.58,NULL,NULL,NULL,NULL,10123366314.21,NULL,NULL,NULL,1049285000,17827263.74,85422804.25,1842486287.36,160000000,1756902685.04,261459806.83,4000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27772472.49,14338343.68,348356260.79,2273627871,3239000000,17603272.62,1600719275.98,112786082.02,13228829977.31,12893544892.51,6412383383.79,5725050777.35,13228829977.31,7503779199.96,335285084.8,1091395816.17,214025688.47,313525231.67,5639627973.1,NULL,334493087.6,NULL
SZ000002,2004-09-30,万科A,三季报,2004-10-28,CNY,1732259510.37,187619707.09,2103844901.65,1990386944.44,1431150859.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,252169949.64,NULL,NULL,NULL,NULL,11013097092.33,NULL,NULL,NULL,975315000,37850592.62,81600748.94,3211972517.9,60000000,1732259510.37,187619707.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28662863.25,905735.82,746282187.87,2273627871,2806000000,17991570.04,1600719275.98,32747826.37,15849790589.33,15495576641.7,7062985514.8,5791534531.02,15849790589.33,10058256058.31,354213947.63,2995270543.51,303330625.53,332817897.9,5709933782.08,NULL,404845714.84,NULL
SZ000002,2004-12-31,万科A,年报,2006-03-21,CNY,2424131909.75,375047445.81,2166856261.28,1995397534.24,1431150859.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,231425594.55,NULL,NULL,NULL,NULL,10545591392.27,NULL,NULL,95078254.26,899693475.17,41603678.6,102248755.37,3131999521.63,320200000,2424131909.75,375047445.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31986778.72,19141566.27,649511826.91,2273627871,795000000,18761752.36,2083622716.27,165507910.22,15534422529.76,15166315002.35,6283755633.29,6304447542.07,15534422529.76,9229974987.69,368107527.41,2946219354.4,373795291.31,462990042.56,6202198786.7,NULL,414846412.17,NULL
SZ000002,2005-03-31,万科A,一季报,2005-04-25,CNY,2126558165.11,296659346.9,2571138928.19,1999702474.91,1431687262.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229265841.3,NULL,NULL,NULL,NULL,11521818524.81,NULL,NULL,NULL,1255002575.51,38235487.49,206085640,2161493186.36,320200000,2126558165.11,296659346.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20933234.4,19000000,1233227099.4,2273749453,1216000000,17630284.94,2083622716.27,120287271.75,18099562461.14,16037619985.45,7772033053.41,6661321122.91,18099562461.14,11438241338.23,2061942475.69,3666208284.82,1384270752.88,820959502.07,6455235482.91,NULL,666761039.9,NULL
SZ000002,2005-06-30,万科A,中报,2005-08-01,CNY,2209822482.21,252575582.94,3113384795.48,2003396665.29,295720630.52,7567273.5,NULL,NULL,NULL,NULL,NULL,NULL,50441552.18,NULL,228486928.27,NULL,NULL,NULL,NULL,13199306565.2,NULL,NULL,NULL,1449745475.51,34621408.05,239349785.58,1948545756.05,519150000,2209822482.21,252575582.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21124779.53,19000000,651785004.67,3410971780,1176000000,18258642.99,2083622716.27,35223766.94,18878575570.48,16795072751.15,8116669125.42,6897069524.73,18878575570.48,11981506045.75,2083502819.33,3864836920.33,1025409662.43,739299987.86,6657719739.15,NULL,868801900.43,NULL
SZ000002,2005-09-30,万科A,三季报,2005-10-31,CNY,2148584528.09,198125954.74,5239841796.13,1988422284.95,295843214.6,14757553.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227392903.78,NULL,NULL,NULL,NULL,14842914142.5,NULL,NULL,NULL,1454832775.51,44601538.29,270062833.83,2624139930.07,612450000,2148584528.09,198125954.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20412684.89,NULL,504730418.18,3411020331,1325000000,17316173.28,2083622716.27,-142790404.09,21198362006.55,19121767656.86,10267279550.34,7008836346.94,21198362006.55,14189525659.61,2076594349.69,3922246109.27,1028269655.86,946231989.94,6738773513.11,NULL,945542468.11,NULL
SZ000002,2005-12-31,万科A,年报,2007-03-20,CNY,3297935001.62,377307701.04,4664152790.56,884762649.44,1075553873.4,19699697.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,216704102.51,NULL,NULL,NULL,NULL,14849481106.68,NULL,NULL,1844129696.85,1194889180,26932476.5,271620671.03,3249034710.39,662980000,3322616992,377307701.04,3781990.38,NULL,NULL,1554912.96,NULL,NULL,NULL,NULL,19201125.98,23979011.41,702577950.58,3722687670,900000000,17719176.86,2893840406.35,43424625.76,21992392061.3,19884926088.24,10883742013.89,8581223228.07,21992392061.3,13411168833.23,2107465973.06,2527426819.34,1210901610.96,704969706.59,8309602557.04,NULL,613894467.92,NULL
SZ000002,2006-03-31,万科A,一季报,2006-04-25,CNY,2969720384.86,276864252.4,4747881863.75,121645577.36,1615721506.78,24471590.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319104209.61,NULL,NULL,NULL,NULL,16633484314.59,NULL,NULL,NULL,1005323960,13914338.85,760363411.66,2879832733.47,911105000,2973502375.24,276864252.4,3781990.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19125131.79,23889362.07,1356274270.27,3936964741,3030000000,22483284.34,2893840406.35,-7924269.76,24272615067.47,22081724021.96,12833694414.73,10211932757.6,24272615067.47,14060682309.87,2190891045.51,1226987895.14,1106494021.98,929774938.4,9451569345.94,NULL,1002073873.08,NULL
SZ000002,2006-06-30,万科A,中报,2006-08-01,CNY,3836619054.56,294116567,4972140378.21,NULL,1699010207.04,42702484.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,376865890.34,NULL,NULL,NULL,NULL,20283042598.73,NULL,NULL,NULL,3466928051.12,2603690.07,1214113822.22,3426873352.03,1597540000,3836619054.56,294116567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26037562.29,24675966.19,1653088151.58,3969898751,1992756000,25746694.33,2893840406.35,26863905.83,28727821155.28,26534960746.3,13536173726.73,11617001985.03,28727821155.28,17110819170.25,2192860408.98,3574645443.52,1051251876.13,801330377.06,10402888162.81,NULL,1834690356.27,NULL
SZ000002,2006-09-30,万科A,三季报,2006-10-31,CNY,4160907883.05,254405741.97,10315163582.65,NULL,1699025082.89,68416630.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,390939891.86,NULL,NULL,NULL,NULL,29828830859.92,NULL,NULL,NULL,5660258603.24,47153628.69,1827357569.51,5459989177.6,2001370000,4170907883.05,254405741.97,10000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18046781.32,25300019.53,2327858309.02,3969898751,5541696000,29205756.3,2893840406.36,-531677692.61,42245109714.16,38643966110.65,24709113071.51,11775387374.64,42245109714.16,30469722339.52,3601143603.51,5760609268.01,3151558226.36,663410232.11,9948029805.13,NULL,1377424235.24,NULL
SZ000002,2006-12-31,万科A,年报,2008-03-21,CNY,5952263493.07,364609673.22,8836350970.3,NULL,5315012258.19,3272022.92,NULL,NULL,233532008.85,891116532.12,NULL,NULL,NULL,NULL,500064794.52,NULL,NULL,NULL,NULL,34167114653.21,9452880.03,NULL,819927416.39,9452876950.91,9282294.52,2524955810.69,10743695198.09,1090094000,5952263493.07,364609673.22,NULL,NULL,NULL,4527867.23,NULL,NULL,NULL,NULL,17391619.87,31677271.29,2313835552.23,4369898751,2715470000,325218938.8,4402087926.99,203550729.36,49919840381.13,48262565548.9,22016270596.03,17453503546.99,49919840381.13,32466336834.14,1657274832.23,10450066238.11,2893322464.5,671005746.39,14928547736.3,NULL,831480143.76,NULL
SZ000002,2007-03-31,万科A,一季报,2007-04-30,CNY,3495932975.7,299825550.82,9565965345.76,NULL,5423843435.84,NULL,NULL,NULL,133582046.53,46248443.39,NULL,NULL,NULL,NULL,505039011.82,NULL,NULL,NULL,NULL,34681890561.76,364890189.01,NULL,1077401487.84,12309609730.61,5222171.35,2294602589.11,9223752632.4,1954970303.34,3495932975.7,299825550.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33001401.22,1756961384.64,4369898751,1852990000,46536491.67,4402087926.99,-174482533.15,50178579910.92,47640363451.57,19835147047.2,17951210296.51,50178579910.92,32227369614.41,2538216459.35,12392222567.21,3093234463.88,1676330637.11,15656607707.4,NULL,1443829427.94,NULL
